ID,Organization,Organization Type,Training Date,Address,City,State,Zip Code,Longitude,Latitude,Number Trained,Project Type,Taining Topic
,Priddy Foundation & Carnegie City-County Library,Public Library,5/8/2024,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,7,,Computer Basics Windows 10
,Priddy Foundation & Carnegie City-County Library,Public Library,5/8/2024,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,8,,Internet Basics
,Priddy Foundation & Carnegie City-County Library,Public Library,5/9/2024,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,5,,Email Basics
,Priddy Foundation & Carnegie City-County Library,Public Library,5/9/2024,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,5,,Cybersecurity
,Priddy Foundation & Carnegie City-County Library,Public Library,5/10/2024,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,7,,Video Conferencing
,Priddy Foundation & Carnegie City-County Library,Public Library,5/10/2024,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,4,,Mobile Device Basics (iOS)
,Priddy Foundation & Carnegie City-County Library,Public Library,5/10/2024,2810 Wilbarger St,Vernon,TX,76384,-99.29579603,34.15263911,3,,Mobile Device Basics (Android)
,Sunshine House Meals on Wheels,Senior Center,6/5/2024,402 E Holland Ave.,Alpine,TX,79830,-103.6580306,30.35865278,2,,Open Lab Workshops
,Sunshine House Meals on Wheels,Senior Center,6/5/2024,402 E Holland Ave.,Alpine,TX,79830,-103.6580306,30.35865278,5,,Mobile Device Basics (Android)
,Michigan Works West Central - Baldwin,Workforce Development,6/11/2024,5252 M-37,Baldwin,MI,49304,-85.85151272,43.87024647,3,,Computer Basics Windows 10
,Michigan Works West Central - Baldwin,Workforce Development,6/11/2024,5252 M-37,Baldwin,MI,49304,-85.85151272,43.87024647,3,,Internet Basics
,Michigan Works West Central - Baldwin,Workforce Development,6/11/2024,5252 M-37,Baldwin,MI,49304,-85.85151272,43.87024647,3,,Email Basics
,Michigan Works West Central - Baldwin,Workforce Development,6/11/2024,5252 M-37,Baldwin,MI,49304,-85.85151272,43.87024647,3,,Cybersecurity
,Michigan Works West Central - Shelby,Workforce Development,6/12/2024,195 N Michigan Ave,Shelby,MI,49455,-86.36392416,43.61188657,3,,Computer Basics Windows 10
,Michigan Works West Central - Shelby,Workforce Development,6/12/2024,195 N Michigan Ave,Shelby,MI,49455,-86.36392416,43.61188657,3,,Internet Basics
,Michigan Works West Central - Shelby,Workforce Development,6/12/2024,195 N Michigan Ave,Shelby,MI,49455,-86.36392416,43.61188657,3,,Email Basics
,Michigan Works West Central - Shelby,Workforce Development,6/12/2024,195 N Michigan Ave,Shelby,MI,49455,-86.36392416,43.61188657,3,,Cybersecurity
,Michigan Works West Central - Big Rapids,Workforce Development,6/13/2024,14330 Northland Dr.,Big Rapids,MI,49307,-85.48334798,43.6742546,4,,Computer Basics Windows 10
,Michigan Works West Central - Big Rapids,Workforce Development,6/13/2024,14330 Northland Dr.,Big Rapids,MI,49307,-85.48334798,43.6742546,4,,Internet Basics
,Michigan Works West Central - Big Rapids,Workforce Development,6/13/2024,14330 Northland Dr.,Big Rapids,MI,49307,-85.48334798,43.6742546,1,,Open Lab Workshops
,Michigan Works West Central - Big Rapids,Workforce Development,6/13/2024,14330 Northland Dr.,Big Rapids,MI,49307,-85.48334798,43.6742546,4,,Email Basics
,Michigan Works West Central - Big Rapids,Workforce Development,6/13/2024,14330 Northland Dr.,Big Rapids,MI,49307,-85.48334798,43.6742546,4,,Cybersecurity
,Michigan Works West Central - Reed City,Workforce Development,6/14/2024,240 East Church St.,Reed City,MI,49677,-85.50672611,43.86957272,3,,Computer Basics Windows 10
,Michigan Works West Central - Reed City,Workforce Development,6/14/2024,240 East Church St.,Reed City,MI,49677,-85.50672611,43.86957272,3,,Internet Basics
,Michigan Works West Central - Reed City,Workforce Development,6/14/2024,240 East Church St.,Reed City,MI,49677,-85.50672611,43.86957272,3,,Email Basics
,Michigan Works West Central - Reed City,Workforce Development,6/14/2024,240 East Church St.,Reed City,MI,49677,-85.50672611,43.86957272,3,,Cybersecurity
,Michigan Works West Central - Ludington,Workforce Development,6/17/2024,920 E. Tinkham Ave.,Ludington,MI,49431,-86.43171104,43.9632754,2,,Open Lab Workshops
,Michigan Works West Central - Ludington,Workforce Development,6/17/2024,920 E. Tinkham Ave.,Ludington,MI,49431,-86.43171104,43.9632754,5,,Computer Basics Windows 10
,Michigan Works West Central - Ludington,Workforce Development,6/17/2024,920 E. Tinkham Ave.,Ludington,MI,49431,-86.43171104,43.9632754,5,,Cybersecurity
,Michigan Works West Central - Newaygo,Workforce Development,6/18/2024,9075 S. Mason Dr.,Newaygo,MI,49337,-85.80082924,43.38983357,2,,Open Lab Workshops
,Michigan Works West Central - Newaygo,Workforce Development,6/18/2024,9075 S. Mason Dr.,Newaygo,MI,49337,-85.80082924,43.38983357,5,,Computer Basics Windows 10
,Michigan Works West Central - Newaygo,Workforce Development,6/18/2024,9075 S. Mason Dr.,Newaygo,MI,49337,-85.80082924,43.38983357,5,,Cybersecurity
,AUTMHQ & Community Catalyst,Non-Profit,6/20/2024,169 Wrenwood Dr,Auburn,KY,42206,-86.70348419,36.86136683,5,,Email Basics
,AUTMHQ & High School Interns,Workforce Development,6/20/2024,"6633 E. Hwy 290, Ste 212",Austin,TX,78723,-97.69285495,30.3208167,9,,Email Basics
,Community First Village,Non-Profit,6/20/2024,9301 Hog Eye Rd Suite 950,Austin,TX,78724,-97.62281585,30.28240881,12,,Cybersecurity
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/24/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,2,,Open Lab Workshops
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/24/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,5,,Computer Basics Windows 10
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/24/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,5,,Internet Basics
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/25/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,7,,Email Basics
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/25/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,7,,Cybersecurity
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/25/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,4,,Mobile Device Basics (iOS)
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/25/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,3,,Mobile Device Basics (Android)
,NEMCOG - Michigan Works (Gaylord),Non-Profit,6/25/2024,2927 D & M Drive,Gaylord,MI,49735,-84.68403117,44.98934876,4,,Video Conferencing
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/26/2024,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,4,,Open Lab Workshops
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/26/2024,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,8,,Computer Basics Windows 10
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/26/2024,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,8,,Internet Basics
,Sunshine House,Senior Center,6/26/2024,3311 Oak Avenue,Alpine,TX,37871,-83.68431596,36.06712501,4,,Cybersecurity
,Sunshine House,Senior Center,6/26/2024,3311 Oak Avenue,Alpine,TX,37871,-83.68431596,36.06712501,4,,Open Lab Workshops
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/27/2024,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,12,,Email Basics
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/27/2024,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,12,,Cybersecurity
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/27/2024,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,9,,Mobile Device Basics (iOS)
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/27/2024,315 W Chisholm St,Alpena,MI,49707,-83.4367614,45.06509489,9,,Mobile Device Basics (Android)
,NEMCOG - Michigan Works (Alpena),Non-Profit,6/27/2024,2927 D & M Drive,Alpena,MI,49735,-84.68403117,44.98934876,9,,Video Conferencing
,Corbin Senior Citizen Center,Senior Center,7/9/2024,409 Barbourville Street,Corbin,KY,40701,-84.09191584,36.94869901,23,,Internet Basics
,Corbin Senior Citizen Center,Senior Center,7/9/2024,409 Barbourville Street,Corbin,KY,40701,-84.09191584,36.94869901,23,,Mobile Device Basics (iOS)
,Gray Hawk Community Church - Kids For Christ,Place of Worship,7/10/2024,US Highway 421 S,Gray Hawk,KY,40434,-83.94790324,37.40410147,13,,Internet Basics
,Gray Hawk Community Church - Kids For Christ,Place of Worship,7/10/2024,US Highway 421 S,Gray Hawk,KY,40434,-83.94790324,37.40410147,13,,Cybersecurity
,Grayson Senior Center,Senior Center,7/10/2024,6121 HWY 421N,Leitchfield,KY,42754,-86.3027641,37.4828855,17,,Internet Basics
,Grayson Senior Center,Senior Center,7/10/2024,6121 HWY 421N,Leitchfield,KY,42754,-86.3027641,37.4828855,17,,Cybersecurity
,Larue County Senior Citizen Center,Senior Center,7/11/2024,112 N Walters Ave,Hodgenville,KY,42748,-85.74131723,37.57451827,13,,Internet Basics
,Larue County Senior Citizen Center,Senior Center,7/11/2024,112 N Walters Ave,Hodgenville,KY,42748,-85.74131723,37.57451827,13,,Cybersecurity
,Living Free Rehabilitation,Rehabilitation Center,7/12/2024,214 Main Street,Manchester,KY,40962,-83.76095791,37.15465315,20,,Internet Basics
,Living Free Rehabilitation,Rehabilitation Center,7/12/2024,214 Main Street,Manchester,KY,40962,-83.76095791,37.15465315,20,,Cybersecurity
,Friendship Christian School PTA,School,7/15/2024,4709 Hwy 2003,McKee,KY,40447,-84.00413217,37.3495111,10,,Internet Basics
,Friendship Christian School PTA,School,7/15/2024,4709 Hwy 2003,McKee,KY,40447,-84.00413217,37.3495111,10,,Cybersecurity
,Magoffin County Senior Citizen Center,Senior Center,7/15/2024,88 S Church Street,Salyersville,KY,41465,-83.06851044,37.75135719,18,,Internet Basics
,Magoffin County Senior Citizen Center,Senior Center,7/15/2024,88 S Church Street,Salyersville,KY,41465,-83.06851044,37.75135719,18,,Email Basics
,Whitley County Community Center,Community Center,7/17/2024,"285 S 3rd St,",Williamsburg,KY,40769,-84.15873554,36.74169656,12,,Internet Basics
,Whitley County Community Center,Community Center,7/17/2024,"285 S 3rd St,",Williamsburg,KY,40769,-84.15873554,36.74169656,12,,Cybersecurity
,Washington County Community Center,Community Center,7/18/2024,206 Cross Main Street,Springfield,KY,40069,-85.22251724,37.6843064,12,,Internet Basics
,Washington County Community Center,Community Center,7/18/2024,206 Cross Main Street,Springfield,KY,40069,-85.22251724,37.6843064,12,,Cybersecurity
,Louisa Senior Citizen Center,Senior Center,7/19/2024,101 W Pike Street,Louisa,KY,41230,-82.60596643,38.11622256,16,,Email Basics
,Louisa Senior Citizen Center,Senior Center,7/19/2024,101 W Pike Street,Louisa,KY,41230,-82.60596643,38.11622256,16,,Cybersecurity
,Lee County Senior Center,Senior Center,7/24/2024,611 Broadway Street,Beattyville,KY,41311,-83.70603961,37.57656652,11,,Internet Basics
,Lee County Senior Center,Senior Center,7/24/2024,611 Broadway Street,Beattyville,KY,41311,-83.70603961,37.57656652,11,,Cybersecurity
,Pulaski County Community Center,Community Center,7/24/2024,125 E University Drive,Somerset,KY,42501,-84.61072455,37.10662241,25,,Internet Basics
,Pulaski County Community Center,Community Center,7/24/2024,125 E University Drive,Somerset,KY,42501,-84.61072455,37.10662241,25,,Cybersecurity
,Sunshine House Meals on Wheels,Senior Center,7/24/2024,402 E Holland Ave.,Alpine,TX,79830,-103.6580306,30.35865278,4,,Email Basics
,Sunshine House Meals on Wheels,Senior Center,7/24/2024,402 E Holland Ave.,Alpine,TX,79830,-103.6580306,30.35865278,3,,Open Lab Workshop
,Bradfordsville Center,Senior Center,7/25/2024,115 S 6th Street ,Bradfordsville,KY,40009,-85.14913786,37.49350457,11,,Internet Basics
,Bradfordsville Center,Senior Center,7/25/2024,115 S 6th Street ,Bradfordsville,KY,40009,-85.14913786,37.49350457,11,,Cybersecurity
,Montgomery Community Center,Community Center,7/25/2024,302 W Main Street,Mt Sterling,KY,40353,-83.94790419,38.05458699,14,,Internet Basics
,Montgomery Community Center,Community Center,7/25/2024,302 W Main Street,Mt Sterling,KY,40353,-83.94790419,38.05458699,14,,Email Basics
,Rowan County Senior Citizen Center,Senior Center,7/26/2024,200 NorthStar PI # A,Morehead,KY,40351,-83.44513986,38.17648841,38,,Email Basics
,Rowan County Senior Citizen Center,Senior Center,7/26/2024,200 NorthStar PI # A,Morehead,KY,40351,-83.44513986,38.17648841,38,,Cybersecurity
,Owsley County Senior Retirement Center,Senior Center,7/30/2024,KY-11,Booneville,KY,41314,-83.69059065,37.47870659,12,,Email Basics
,Owsley County Senior Retirement Center,Senior Center,7/30/2024,KY-11,Booneville,KY,41314,-83.69059065,37.47870659,12,,Mobile Device Basics (iOS)
,Radcliff Community Center,Community Center,7/30/2024,230 Freedom Way,Radcliff,KY,40160,-85.94542814,37.83937308,15,,Computer Basics Windows 10
,Radcliff Community Center,Community Center,7/30/2024,230 Freedom Way,Radcliff,KY,40160,-85.94542814,37.83937308,15,,Cybersecurity
,TN Vocational Rehabilitation Services,Rehabilitation Center,7/30/2024,523 Madison Street Suite B,Clarksville,TN,37040,-87.35289184,36.52631488,11,,Computer Basics Windows 10
,TN Vocational Rehabilitation Services,Rehabilitation Center,7/30/2024,523 Madison Street Suite B,Clarksville,TN,37040,-87.35289184,36.52631488,10,,Internet Basics
,TN Vocational Rehabilitation Services,Rehabilitation Center,7/30/2024,523 Madison Street Suite B,Clarksville,TN,37040,-87.35289184,36.52631488,9,,Cybersecurity
,TN Vocational Rehabilitation Services,Rehabilitation Center,7/31/2024,523 Madison Street Suite B,Clarksville,TN,37040,-87.35289184,36.52631488,7,,Email Basics
,TN Vocational Rehabilitation Services,Rehabilitation Center,7/31/2024,523 Madison Street Suite B,Clarksville,TN,37040,-87.35289184,36.52631488,5,,Mobile Device Basics (iOS)
,TN Vocational Rehabilitation Services,Rehabilitation Center,7/31/2024,523 Madison Street Suite B,Clarksville,TN,37040,-87.35289184,36.52631488,2,,Mobile Device Basics (Android)
,TN Vocational Rehabilitation Services,Rehabilitation Center,7/31/2024,523 Madison Street Suite B,Clarksville,TN,37040,-87.35289184,36.52631488,7,,Video Conferencing
,Woodford Community Center,Community Center,7/31/2024,185 Beasley Road ,Versailles,KY,40383,-84.75896337,38.04694471,9,,Cybersecurity
,Woodford Community Center,Community Center,7/31/2024,185 Beasley Road ,Versailles,KY,40383,-84.75896337,38.04694471,9,,Mobile Device Basics (iOS)
,Hazard/Perry Senior Center,Senior Center,8/1/2024,354 Perry Park Rd,Hazard,KY,41701,-83.20589696,37.27464579,20,,Internet Basics
,Hazard/Perry Senior Center,Senior Center,8/1/2024,354 Perry Park Rd,Hazard,KY,41701,-83.20589696,37.27464579,20,,Mobile Device Basics (iOS)
,Strawberry Plains Senior Center,Senior Center,8/2/2024,33 Creekside Drive,Strawberry Plains,TN,40071,-85.33612958,38.04085108,7,,Computer Basics Windows 10
,Strawberry Plains Senior Center,Senior Center,8/2/2024,33 Creekside Drive,Strawberry Plains,TN,40071,-85.33612958,38.04085108,7,,Internet Basics
,Gray Hawk Community Church,Place of Worship,8/4/2024,US Highway 421 S ,Gray Hawk,KY,40434,-83.94790324,37.40410147,66,,Mobile Device Basics (iOS)
,Gray Hawk Community Church,Place of Worship,8/4/2024,US Highway 421 S ,Gray Hawk,KY,40434,-83.94790324,37.40410147,66,,Video Conferencing
,Richmond Active Center,Non-Profit,8/5/2024,121 S Ct St.,Richmond,KY,25271,-81.71187402,38.81770354,15,,Internet Basics
,Richmond Active Center,Non-Profit,8/5/2024,121 S Ct St.,Richmond,KY,25271,-81.71187402,38.81770354,15,,Cybersecurity
,Shelbyville Community Action Counsel,Non-Profit,8/5/2024,07 Washington Street,Shelbyville,KY,41008,-85.1560569,38.6778713,8,,Email Basics
,Shelbyville Community Action Counsel,Non-Profit,8/5/2024,07 Washington Street,Shelbyville,KY,41008,-85.1560569,38.6778713,8,,Cybersecurity
,Retirement Housing Foundation,Non-Profit,8/6/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,4,,Computer Basics Windows 10
,Retirement Housing Foundation,Non-Profit,8/6/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,4,,Internet Basics
,Retirement Housing Foundation,Non-Profit,8/6/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,5,,Email Basics
,Retirement Housing Foundation,Non-Profit,8/6/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,5,,Cybersecurity
,Retirement Housing Foundation,Non-Profit,8/6/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,1,,Open Lab Workshop
,Scott County Senior Center,Senior Center,8/6/2024,816 Cincinnati Road,Georgetown,KY,40324,-84.56705744,38.22401623,7,,Internet Basics
,Scott County Senior Center,Senior Center,8/6/2024,816 Cincinnati Road,Georgetown,KY,40324,-84.56705744,38.22401623,7,,Cybersecurity
,Anderson County Community Center,Community Center,8/7/2024,703 N Mallard St,Palestine,TX,75801,-95.62734488,31.76623982,36,,Internet Basics
,Anderson County Community Center,Community Center,8/7/2024,703 N Mallard St,Palestine,TX,75801,-95.62734488,31.76623982,36,,Cybersecurity
,Retirement Housing Foundation,Non-Profit,8/7/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,1,,Mobile Device Basics (iOS)
,Retirement Housing Foundation,Non-Profit,8/7/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,3,,Mobile Device Basics (Android)
,Retirement Housing Foundation,Non-Profit,8/7/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,3,,Video Conferencing
,Retirement Housing Foundation,Non-Profit,8/7/2024,506 S. Graves St.,McKinney,TX,75069,-96.63226458,33.19238888,3,,Cybersecurity
,Betsy Lane Senior Center,Non-Profit,8/8/2024,219 Pike Floyd Hollow ,Betsy Lane,KY,41605,-82.62478422,37.55644093,11,,Internet Basics
,Betsy Lane Senior Center,Non-Profit,8/8/2024,219 Pike Floyd Hollow ,Betsy Lane,KY,41605,-82.62478422,37.55644093,11,,Cybersecurity
,Lincoln County Senior Center,Senior Center,8/12/2024,100 Senior Way,Stanford,KY,40484,-84.64028132,37.55091491,20,,Internet Basics
,Lincoln County Senior Center,Senior Center,8/12/2024,100 Senior Way,Stanford,KY,40484,-84.64028132,37.55091491,20,,Email Basics
,Spencer County Senior Citizen Center,Senior Center,8/13/2024,6729 Martel Lane.,Taylorsville,KY,37920,-83.93620582,35.88957128,12,,Email Basics
