ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1001,"
Austin Free-Net",Non-Profit,2023,,,2209 RosewoodAve,Austin,TX,78702,-97.71590309,30.27018188,11,CN DST Workshops,,,,,
1002,"
Forbes Road Career & Technology Center",School,2025,,,607 Beatty Rd,Monroeville,PA,15146,-79.75053483,40.44827288,86,Teens Teach Teach,,,,,
1003,4-H Florida A&M University,School,2024,,,1500 Wahnish Way,Tallahassee,FL,32307,-84.28973952,30.42886229,323,Teens Teach Teach,,,,,
1004,A Gathering Place,Non-Profit,2024,,,569 Jean Drive,Danville,KY,40422,-84.78257846,37.6253144,30,CN DST Workshops,,,,,
1005,ACC AmeriCorps,Non-Profit,2024,,,257 E. Center St. (Grand County Public Library - Moab Branch),Moab,UT,84532,-109.5455626,38.57327793,15,CN DST Workshops,,,,,
1006,ACC AmeriCorps,Non-Profit,2024,,,439 S 100 E (Margaret L Hopkin Middle School),Moab,UT,84532,-109.548709,38.56673808,15,CN DST Workshops,,,,,
1007,Active Day of Somerset,Non-Profit,2023,,,20 Oak Hill Rd,Somerset,KY,42503,-84.61869021,37.07526533,15,CN DST Workshops,,,,,
1008,Acton Digital Academy,School,2025,,,1110 University Avenue,Honolulu,HI,96826,-157.8214153,21.29327099,302,Teens Teach Teach,,,,,
1009,ACUTAS,Non-Profit,2025,,,"Cll Bellisima, 00949 Ingenio",Toa Baja,PR,00951,-66.22420982,18.44518249,49,Teens Teach Teach,,,,,
1010,Adair Senior Center,Senior Center,2024,,,901 Hudson Street ,Cundiff,KY,42728,-85.33013609,37.09994346,22,CN DST Workshops,,,,,
1011,Adelante,Non-Profit,"2023, 2024",,,4801 Southside Dr,Louisville,KY,40214,-85.76470844,38.17873869,107,Teens Teach Teach,,,,,
1012,Adelante Hispanic Achievers,Non-Profit,2023,,,4801 Southside Drive (Americana Community Center),Louisville,KY,40214,-85.76470844,38.17873869,240,CN DST Workshops,https://connectednation.org/blog/driving-success-with-adelante-hispanic-achievers-and-connectivity,,,,
1013,Adolfo Camarillo High School,School,2024,,,4660 Mission Oaks Blvd,Camarillo,CA,93012,-119.0097082,34.21865963,740,Teens Teach Teach,,,,,
1014,Agaram Tamil Padasalai,Non-Profit,2024,,,"510 W Avon Rd, Avon",Avon,CT,06001,-72.86421799,41.78222176,189,Teens Teach Teach,,,,,
1015,AIU3 Community School East,School,2023,,,475 E. Waterfront Dr.,Homestead,PA,15120,-79.90870126,40.41288742,11,Teens Teach Teach,,,,,
1016,Algood Senior Center,Senior Center,2025,,,125 4th Ave,Cookeville,TN,38506,-85.4518679,36.19395905,,CN DST Workshops,,,,,
1017,Alivio,Non-Profit,2024,,,4100 W 20th St,YUMA,AZ,85364,-114.6691708,32.69120526,16,Teens Teach Teach,,,,,
1018,Allen County Community Action Senior Center,Senior Center,2025,,,25 JL Turner and Son Pl.,Scottsville,KY,42164,-86.18339238,36.75233734,22,CN DST Workshops,,,,,
1019,Altamont Schools,School,"2024, 2025",,,4801 Altamont Rd S,Birmingham,AL,35222,-86.75856361,33.51415049,11,Teens Teach Teach,https://connectednation.org/press-releases/alabama-teen-honored-with-connected-nations-2025-student-broadband-hero-award,https://youtu.be/PeS1MlhAVcs?si=UBjm-5xD5P4G58qW,https://www.youtube.com/watch?v=PeS1MlhAVcs,,
1020,Anderson County,Government ,2020,,,703 N Mallard St,Palestine,TX,75801,-95.62734488,31.76623982,,Community Planning,https://connectednation.org/community-engagements/Anderson-County-texas,,,,
1021,Anderson County Community Center,Community Center,2024,,,160 Township Square ,Lawrenceburg,KY,40342,-84.89726553,38.03583039,204,CN DST Workshops,,,,,
