"ID","Organization","Organization Type","Training Date","Address","City","State","Zip Code","Longitude","Latitude","Number Trained","Project Type","Taining Topic"
"2333","McCreary County Senior Center ","Senior Center","2025-11-21","401 US Hwy 27","Whitley City","KY","42653","-84.46900634","36.72859785","","CN Hosted Workshops ","undefined"
"2334","McCreary County Senior Center ","Senior Center","2025-11-21","401 US Hwy 27","Whitley City","KY","42653","-84.46900634","36.72859785","","CN Hosted Workshops ","undefined"
"2335","McCreary County Senior Center ","Senior Center","2025-11-21","401 US Hwy 27","Whitley City","KY","42653","-84.46900634","36.72859785","","CN Hosted Workshops ","undefined"
"2336","Fifty Forward Martin Center ","Senior Center","2025-11-24","960 Heritage Way","Brentwood","TN","37027","-86.78806237","35.99955916","","CN Hosted Workshops ","undefined"
"2337","Fifty Forward Martin Center ","Senior Center","2025-11-24","960 Heritage Way","Brentwood","TN","37027","-86.78806237","35.99955916","","CN Hosted Workshops ","undefined"
"2338","Fifty Forward Martin Center ","Senior Center","2025-11-24","960 Heritage Way","Brentwood","TN","37027","-86.78806237","35.99955916","","CN Hosted Workshops ","undefined"
"2339","Greenwood Senior Center ","Senior Center","2025-11-24","4040 Greenwood Dr","Corpus Christi","TX","78416","-97.43059602","27.75936451","","CN Hosted Workshops ","undefined"
"2340","Greenwood Senior Center ","Senior Center","2025-11-24","4040 Greenwood Dr","Corpus Christi","TX","78416","-97.43059602","27.75936451","","CN Hosted Workshops ","undefined"
"2341","Greenwood Senior Center ","Senior Center","2025-11-24","4040 Greenwood Dr","Corpus Christi","TX","78416","-97.43059602","27.75936451","","CN Hosted Workshops ","undefined"
"2342","Greenwood Senior Center ","Senior Center","2025-11-25","4040 Greenwood Dr","Corpus Christi","TX","78416","-97.43059602","27.75936451","","CN Hosted Workshops ","undefined"
"2343","Greenwood Senior Center ","Senior Center","2025-11-25","4040 Greenwood Dr","Corpus Christi","TX","78416","-97.43059602","27.75936451","","CN Hosted Workshops ","undefined"
"2344","Greenwood Senior Center ","Senior Center","2025-11-25","4040 Greenwood Dr","Corpus Christi","TX","78416","-97.43059602","27.75936451","","CN Hosted Workshops ","undefined"
"2345","A Gathering Place ","Non-Profit","2025-11-26","569 Jean Drive","Danville","KY","40422","-84.78259741","37.62573735","","CN Hosted Workshops ","undefined"
"2346","A Gathering Place ","Non-Profit","2025-11-26","569 Jean Drive","Danville","KY","40422","-84.78259741","37.62573735","","CN Hosted Workshops ","undefined"
"2347","A Gathering Place ","Non-Profit","2025-11-26","569 Jean Drive","Danville","KY","40422","-84.78259741","37.62573735","","CN Hosted Workshops ","undefined"
"2348","Community Literacy Program","Non-Profit","2025-12-01","2701 S. Harvey Ave.","Oklahoma City","OK","73109","-97.51861933","35.43809524","","CN Hosted Workshops ","undefined"
"2349","Community Literacy Program","Non-Profit","2025-12-01","2701 S. Harvey Ave.","Oklahoma City","OK","73109","-97.51861933","35.43809524","","CN Hosted Workshops ","undefined"
"2350","Community Literacy Program","Non-Profit","2025-12-01","2701 S. Harvey Ave.","Oklahoma City","OK","73109","-97.51861933","35.43809524","","CN Hosted Workshops ","undefined"
"2351","Montgomery County Senior Center","Senior Center","2025-12-01","302 W. Main Street","Mount Sterling","KY","40353","-83.947815","38.05431701","","CN Hosted Workshops ","undefined"
"2352","Montgomery County Senior Center","Senior Center","2025-12-01","302 W. Main Street","Mount Sterling","KY","40353","-83.947815","38.05431701","","CN Hosted Workshops ","undefined"
"2353","Montgomery County Senior Center","Senior Center","2025-12-01","302 W. Main Street","Mount Sterling","KY","40353","-83.947815","38.05431701","","CN Hosted Workshops ","undefined"
"2354","Heartland Library Cooperative - Sebring","Public Library","2025-12-01","319 W. Center Ave","Sebring","FL","33870","-81.44370718","27.49470068","","CN Hosted Workshops ","undefined"
"2355","Heartland Library Cooperative - Sebring","Public Library","2025-12-01","319 W. Center Ave","Sebring","FL","33870","-81.44370718","27.49470068","","CN Hosted Workshops ","undefined"
"2356","Heartland Library Cooperative - Sebring","Public Library","2025-12-01","319 W. Center Ave","Sebring","FL","33870","-81.44370718","27.49470068","","CN Hosted Workshops ","undefined"
"2357","Heartland Library Cooperative - Sebring","Public Library","2025-12-01","319 W. Center Ave","Sebring","FL","33870","-81.44370718","27.49470068","","CN Hosted Workshops ","undefined"
"2633","Archer County","Government","2023-07-07","100 S Center St","Archer City","TX","76351","-98.62573504","33.59520546","0","undefined"
"2634","Bastrop County","Government","2021-01-01","804 Pecan Street","Bastrop","TX","78602","-97.31756119","30.1098162","0","undefined"
"2635","Baylor County","Government","2023-07-01","109 N. Washington Street","Seymour","TX","76380","-99.26161421","33.58845656","0","undefined"
"2636","Blanco County","Government","2021-09-01","101 E Cypress St","Johnson City","TX","78636","-98.41129193","30.27866306","0","undefined"
"2637","Brewster County","Government","2021-10-01","201 W Avenue E","Alpine","TX","79830","-103.6636646","30.35795033","0","undefined"
"2638","Burnet County","Government","2021-09-01","220 S Pierce St","Burnet","TX","78611","-98.22638773","30.75714924","0","undefined"
"2639","Caldwell County","Government","2021-11-01","110 S Main Street","Lockhart","TX","78644","-97.67232734","29.88426489","0","undefined"
"2640","Castro County","Government","2022-01-01","100 E Bedford St","Dimmitt","TX","79027","-102.3117698","34.55094233","0","undefined"
"2641","Childress County","Government","2022-02-01","100 Avenue E NW","Childress","TX","79201","-100.2054138","34.42566364","0","undefined"
"2642","Clay County","Government","2022-03-01","214 N Main St","Henrietta","TX","76365","-98.19633358","33.81690655","0","undefined"
"2643","Comanche County","Government","2023-04-01","315 SW 5th Street","Lawton","OK","73501","-98.3952353","34.60462356","0","undefined"
"2644","Cottle County","Government","2023-05-01","815 9th Street","Paducah","TX","79248","-100.3018364","34.01400801","0","undefined"
"2645","Cotton County","Government","2025-06-01","100 E Main Street","Walters","OK","73572","-98.3209067","34.3621093","0","undefined"
"2646","DeWitt County","Government","2021-07-01","115 N Gonzales St","Cuero","TX","77954","-97.28988901","29.09061303","0","undefined"
"2647","Donley County","Government","2021-08-01","100 E Washington Ave","Clarendon","TX","79226","-100.9058724","34.9371624","0","undefined"
"2648","Ellis County","Government","2023-09-01","109 S Jackson Street","Waxahachie","TX","75165","-96.84685714","32.38480324","0","undefined"
"2649","Fisher County","Government","2021-10-01","109 N. Angelo","Roby","TX","79543","-100.3767598","32.74586585","0","undefined"
"2650","Foard County","Government","2022-11-01","101 S Main Street","Crowell","TX","79227","-99.72504277","33.98356933","0","undefined"
"2651","Hall County","Government","2021-12-01","100 E Main St","Memphis","TX","79245","-100.5307534","34.72514658","0","undefined"
"2652","Hardeman County","Government","2023-01-01","200 N Main St","Quanah","TX","79252","-99.73896729","34.30219288","0","undefined"
"2653","Hardin County","Government","2022-02-01","300 W Monroe St","Kountze","TX","77625","-94.31567359","30.36867691","0","undefined"
"2654","Harrison County","Government","2021-03-01","200 W Houston St","Marshall","TX","75670","-94.36885602","32.54497629","0","undefined"
"2655","Haskell County","Government","2022-04-01","100 N 1st St","Haskell","TX","79521","-99.72909366","33.1575935","0","undefined"
"2656","Hays County","Government","2022-05-01","111 E San Antonio St","San Marcos","TX","78666","-97.94068159","29.8822762","0","undefined"
"2657","Houston County","Government","2021-06-01","401 E Goliad Ave","Crockett","TX","75835","-95.45772073","31.31767804","0","undefined"
"2658","Jack County","Government","2021-07-01","100 N Main Street","Jacksboro","TX","76458","-98.15876447","33.21879875","0","undefined"
"2659","Jackson County","Government","2024-08-01","101 E Broadway","Altus","OK","73521","-99.33360093","34.63787071","0","undefined"
"2660","Jasper County","Government","2021-09-01","121 N Austin Street","Jasper","TX","75951","-93.99942263","30.92130018","0","undefined"
"2661","Jeff Davis County","Government","2021-10-01","105 Courthouse Dr","Fort Davis","TX","79734","-103.9749865","30.6171626","0","undefined"
"2662","Jefferson County","Government","2022-11-01","1149 Pearl Street","Beaumont","TX","77701","-94.09331327","30.07838801","0","undefined"
"2663","Jefferson County","Government","2025-12-01","101 S Broadway","Waurika","OK","73573","-98.00038245","34.16384049","0","undefined"
"2664","Jones County","Government","2021-01-01","101 E Main St","Anson","TX","79501","-99.8944705","32.7464723","0","undefined"
"2665","Karnes County","Government","2022-02-01","210 W Calvert Ave","Karnes City","TX","78118","-97.90284543","28.88500767","0","undefined"
"2666","Kaufman County","Government","2022-03-01","100 W Mulberry Street","Kaufman","TX","75142","-96.30953206","32.58904323","0","undefined"
"2667","King County","Government","2023-04-01","200 W Main Street","Guthrie","TX","79236","-100.3208616","33.61894211","0","undefined"
