ID,Organization,Organization Type,Training Date,Address,City,State,Zip Code,Latitude,Longitude,Number Trained,Project Type,Training Topic,Language
1,CN Digital Works Facility,Non-Profit,2013-05-23,1555 Newark Road,Zanesville,OH,43701,39.961668899999999,-82.033306499999995,102,Digital Works,Cybersecurity,English
2,CN Digital Works Facility,Non-Profit,2013-08-06,80 East Main Street,Logan,OH,43138,39.540294000000003,-82.4073815,90,Digital Works,Cybersecurity,English
3,CN Digital Works Facility,Non-Profit,2013-10-22,185 Shady Lane Drive,Norwalk,OH,44857,41.226109399999999,-82.606491800000001,45,Digital Works,Cybersecurity,English
4,CN Digital Works Facility,Non-Profit,2013-11-04,433 3rd Street,Portsmouth,OH,45662,38.732642499999997,-83.004352800000007,39,Digital Works,Computer Basics,English
5,CN Digital Works Facility,Non-Profit,2013-11-05,47011 State Route 26,Woodsfield,OH,43793,39.751516000000002,-81.075920999999994,196,Digital Works,Internet Basics,English
6,CN Digital Works Facility,Non-Profit,2013-11-10,859 3rd Ave.,Gallipolis,OH,45631,38.814855600000001,-82.196765400000004,70,Digital Works,Computer Basics,English
7,CN Digital Works Facility,Non-Profit,2013-11-18,263 North Main Street,Lynchburg,OH,45142,39.243809200000001,-83.792469199999999,70,Digital Works,Computer Basics,English
8,CN Digital Works Facility,Non-Profit,2013-12-18,11 East Main Street,Carrollton,OH,44615,40.572642799999997,-81.085635100000005,88,Digital Works,Computer Basics,English
9,CN Digital Works Facility,Non-Profit,2014-03-18,111 West Main Street,West Union,OH,45693,38.794741100000003,-83.545935099999994,10,Digital Works,Internet Basics,English
10,CN Digital Works Facility,Non-Profit,2014-04-28,951 Commerce Parkway,Lima,OH,45804,40.693698500000004,-84.092734800000002,16,Digital Works,Internet Basics,English
11,CN Digital Works Facility/Thorn Hill Education Center,Non-Profit,2014-07-25,700 Leslie Ave.,Thorn Hill,KY,40601,38.211385999999997,-84.858727000000002,36,Digital Works,Mobile Device Basics,English
12,CN Digital Works Virtual,Non-Profit,2014-09-26,51 Jefferson Ave.,Columbus,OH,43215,39.965322999999998,-82.984533900000002,58,Digital Works,Cybersecurity,English
13,CN Digital Works Facility/Teleworks USA,Non-Profit,2014-10-02,412 Roy Campbell Dr.,Hazard,KY,41701,37.272426600000003,-83.230548299999995,51,Digital Works,Cybersecurity,English
14,CN Digital Works Facility,Non-Profit,2014-12-04,349 N. 2nd Ave.,Middleport,OH,45760,39.004403000000003,-82.047529699999998,16,Digital Works,Internet Basics,English
15,CN Digital Works Facility/Teleworks USA,Non-Profit,2014-12-09,169 Carpenter Rd.,Annville,KY,40402,37.328229,-83.953784999999996,12,Digital Works,Internet Basics,English
16,CN Digital Works - Busch Blvd Facility,Non-Profit,2015-07-28,6600 Busch Blvd,Columbus,OH,43229,40.099789299999998,-82.993259100000003,138,Digital Works,Video Conferencing,English
17,CN Digital Works Facility,Non-Profit,2015-08-31,504 Division St.,Cheboygan,MI,49721,45.6460565,-84.479196999999999,46,Digital Works,Cybersecurity,English
18,CN Digital Works - Reeb Facility,Non-Profit,2015-09-18,280 Reeb Ave.,Columbus,OH,43207,39.925188800000001,-82.987318000000002,12,Digital Works,Cybersecurity,English
